#rank	title	distributor	href	year	poster	trailer
9	Mr. Mom	20th Century Fox	Mr._Mom	1983	e/ed/Mr_mom_poster.jpg	
10	Risky Business	Warner Bros.	Risky_Business	1983	3/33/Risky_Business.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Ghostbusters	Columbia	Ghostbusters	1984	2/2f/Ghostbusters_(1984)_theatrical_poster.png	
2	Beverly Hills Cop	Paramount	Beverly_Hills_Cop	1984	a/a2/Beverly_Hills_Cop.jpg	
3	Indiana Jones and the Temple of Doom	Paramount	Indiana_Jones_and_the_Temple_of_Doom	1984	1/10/Indiana_Jones_and_the_Temple_of_Doom_PosterB.jpg	
4	Gremlins	Warner Bros.	Gremlins	1984	3/3d/Gremlins1.jpg	
5	The Karate Kid	Columbia	The_Karate_Kid	1984	a/a9/Karate_kid.jpg	
6	Police Academy	Warner Bros.	Police_Academy_(film)	1984	4/4d/Police_Academy_film.jpg	
7	Footloose	Paramount	Footloose_(1984_film)	1984	e/e4/FootloosePoster.jpg	
8	Romancing the Stone	20th Century Fox	Romancing_the_Stone	1984	8/84/Romancing_the_stone.jpg	
9	Star Trek III: The Search for Spock	Paramount	Star_Trek_III:_The_Search_for_Spock	1984	b/b6/Star_Trek_III_The_Search_for_Spock.png	
10	Splash	Buena Vista	Splash_(film)	1984	a/a3/Splash_ver2.jpg	
Bachelor Party	Bachelor_Party_(1984_film)	38
Moscow on the Hudson	Moscow_on_the_Hudson	25
The Bounty	The_Bounty_(1984_film)	18
Once Upon a Time in America	Once_Upon_a_Time_in_America	5


#rank	title	distributor	href	year	poster	trailer
1	Back to the Future	Universal	Back_to_the_Future	1985	d/d2/Back_to_the_Future.jpg	
2	Rambo: First Blood Part II	Tri-Star	Rambo:_First_Blood_Part_II	1985	f/fc/Rambo_first_blood_part_ii.jpg	
3	Rocky IV	MGM	Rocky_IV	1985	9/95/Rocky_IV.jpg	
4	The Color Purple	Warner Bros.	The_Color_Purple_(1985_film)	1985	b/be/The_Color_Purple_poster.jpg	
5	Out of Africa	Universal	Out_of_Africa_(film)	1985	d/d8/Out_of_Africa_(1985).jpg	
6	Cocoon	20th Century Fox	Cocoon_(film)	1985	e/ef/Cocoonposter.jpg	
7	The Jewel of the Nile	20th Century Fox	The_Jewel_of_the_Nile	1985	4/42/The_Jewel_of_the_Nile_(1985)_film_poster.jpg	
8	Witness	Paramount	Witness_(1985_film)	1985	b/bc/Witness_movie.jpg	
9	The Goonies	Warner Bros.	The_Goonies	1985	c/c6/The_Goonies.jpg	
10	Spies Like Us	Warner Bros.	Spies_Like_Us	1985	f/fb/Spieslikeusposter.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Top Gun	Paramount	Top_Gun	1986	4/46/Top_Gun_Movie.jpg	
2	Crocodile Dundee	Paramount	Crocodile_Dundee	1986	a/a6/Crocodile_Dundee_original_Australian_New_Zealand_poster.jpg	
3	Platoon	Orion Pictures	Platoon_(film)	1986	a/a9/Platoon_posters_86.jpg	
4	The Karate Kid Part II	Columbia	The_Karate_Kid_Part_II	1986	b/b5/Karate_kid_part_II.jpg	
5	Star Trek IV: The Voyage Home	Paramount	Star_Trek_IV:_The_Voyage_Home	1986	6/68/Star_Trek_IV_The_Voyage_Home.png	
6	Back to School	Orion Pictures	Back_to_School	1986	7/7f/Back_to_School_Movie_Poster.jpg	
7	Aliens	20th Century Fox	Aliens_(film)	1986	f/fb/Aliens_poster.jpg	
